,이름,주소,위도,경도,단어
348,실리도 어촌계 (선창2)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.03,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
349,실리도 어촌계 (한마음1)낚시터,경상남도 창원시 마산합포구 구산면 실리섬길 3,35.03,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '실리', '3']"
350,실리도 어촌계 (한마음2)낚시터,경상남도 창원시 마산합포구 구산면 실리섬길 3,35.03,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '실리', '3']"
351,원전어촌계 (바다)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
352,실리도 어촌계 (반야1)낚시터,경상남도 창원시 마산합포구 구산면 실리섬길 3,35.03,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '실리', '3']"
353,실리도 어촌계 (반야2)낚시터,경상남도 창원시 마산합포구 구산면 실리섬길 3,35.03,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '실리', '3']"
354,원전어촌계 (가고파)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
355,원전어촌계 (천수)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
356,원전어촌계 (성용)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
357,시락어촌계낚시터(3동),경상남도 창원시 마산합포구 진전면 회진로 1123-25,35.04,128.26,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '진전', '진전면', '면', '회', '회진로', '진로']"
358,원전어촌계 (선창)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
359,원전어촌계 (강민)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
360,원전어촌계 (대봉)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
361,원전어촌계 (삼정)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
362,원전어촌계 (조선)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
363,원전어촌계 (태양)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
364,원전어촌계 (태진)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
365,원전어촌계 (혜주)낚시터,경상남도 창원시 마산합포구 구산면 이순신로 644,35.04,128.38,"['경상', '경상남도', '남도', '창원', '창원시', '마산', '마산합포구', '합포', '합포구', '구산', '구산면', '면', '이순', '이순신로', '신로', '644']"
366,니모실내낚시카페,"경상남도 창녕군 창녕읍 종로15, B01호(낙원빌라)",35.53866,128.4977488,"['경상', '경상남도', '남도', '창녕', '창녕군', '창녕읍', '종로', '종로15', '15', '01', '01호', '호', '낙원', '낙원빌라', '빌라']"
367,달창유로낚시터,"경상남도 창녕군 성산면 방리 1067-14, 1067-44",35.6091748,128.5156706,"['경상', '경상남도', '남도', '창녕', '창녕군', '성산', '성산면', '면', '방리']"
368,시방어촌계낚시터,경상남도 거제시 장목면 시방리 지선,34.9641,128.7135,"['경상', '경상남도', '남도', '거제', '거제시', '장목', '장목면', '면', '시', '시방리', '방리', '지선']"
369,장승포어촌계낚시터,"경상남도 거제시 장승포동 산11-4, 산2번지 지선",34.8642,128.7387,"['경상', '경상남도', '남도', '거제', '거제시', '장승포', '장승포동', '동', '산', '산2번지', '2', '번지', '지선']"
370,선창해상낚시터,경상남도 거제시 일운면 지세포해안로 240,34.8347,128.7156,"['경상', '경상남도', '남도', '거제', '거제시', '일운', '일운면', '면', '지', '지세포해안', '세포', '해안', '240']"
